Factor,feature,Portion,Design,n_simulation,N
X3 (non-informative),X3,0.10319735422253755,Definitive Screening Design,106,17
Random Normal,Random Normal,0.23721570935852068,Definitive Screening Design,106,17
X1,X1,0.06309917873759525,Definitive Screening Design,107,17
X2,X2,0.6343879454957516,Definitive Screening Design,107,17
X3 (non-informative),X3,0.09259406632919068,Definitive Screening Design,107,17
Random Normal,Random Normal,0.20991880943746252,Definitive Screening Design,107,17
X1,X1,0.0952347272770029,Definitive Screening Design,108,17
X2,X2,0.6238814525522419,Definitive Screening Design,108,17
X3 (non-informative),X3,0.1286714346170353,Definitive Screening Design,108,17
Random Normal,Random Normal,0.1522123855537197,Definitive Screening Design,108,17
X1,X1,0.07968238079824323,Definitive Screening Design,109,17
X2,X2,0.5785872598658361,Definitive Screening Design,109,17
